rideable_type,day_of_week,month,season,trip_duration_mins,hour,trips,day_of_month
0,4,8,2,35,13,1,10
1,5,11,3,7,22,2,24
0,5,1,0,12,20,1,6
0,2,2,0,8,14,3,7
1,1,8,2,9,7,35,14
0,5,12,0,41,9,1,29
1,6,9,3,7,17,34,9
0,2,10,3,10,15,14,10
0,0,8,2,15,8,2,6
1,5,6,2,35,12,2,16
1,6,6,2,63,19,1,17
1,6,11,3,33,6,1,18
0,3,12,0,6,5,3,6
0,2,12,0,23,16,3,12
1,6,5,1,88,18,1,27
1,2,11,3,28,14,2,7
0,3,5,1,12,18,19,24
0,6,4,1,15,15,3,1
0,0,1,0,17,5,1,1
1,4,7,2,39,20,1,20
1,0,10,3,119,12,1,1
1,0,10,3,128,8,2,8
1,0,4,1,5,21,7,23
0,3,11,3,6,9,5,1
1,3,11,3,45,7,1,15
1,0,9,3,126,1,1,3
0,6,10,3,25,9,1,21
1,4,9,3,176,23,1,14
0,5,5,1,31,16,3,26
0,5,3,1,9,10,4,24
1,1,12,0,33,13,1,11
0,3,10,3,6,0,4,11
1,3,7,2,17,22,10,19
0,5,8,2,40,20,1,4
1,4,5,1,26,11,1,11
1,6,6,2,51,18,1,24
0,5,1,0,6,2,1,13
1,4,1,0,7,8,6,19
1,2,5,1,23,7,5,30
1,2,5,1,18,7,12,9
0,3,4,1,18,6,2,26
0,5,11,3,4,16,14,24
1,1,6,2,28,13,3,12
1,2,10,3,5,10,4,24
1,6,12,0,50,11,2,2
0,3,11,3,7,6,15,15
1,6,5,1,3,9,3,6
0,3,1,0,32,7,1,18
1,6,10,3,38,3,2,21
1,2,10,3,44,8,1,24
0,0,6,2,4,17,19,11
1,2,8,2,20,7,6,29
1,4,11,3,2,8,18,2
0,4,7,2,21,21,6,20
1,5,3,1,21,13,1,24
0,3,6,2,4,8,49,28
0,2,6,2,35,7,3,6
1,2,6,2,38,15,2,20
1,1,7,2,53,13,3,3
1,6,7,2,43,21,2,29
0,1,6,2,37,23,1,19
0,6,6,2,18,23,5,24
1,6,7,2,31,17,3,22
1,3,4,1,23,7,1,5
1,5,10,3,31,11,1,13
1,3,8,2,93,18,1,30
1,3,12,0,36,10,1,27
0,5,11,3,127,3,1,3
0,5,7,2,15,15,13,7
0,4,1,0,7,23,2,19
1,1,6,2,12,14,11,26
0,0,6,2,14,0,10,18
1,5,12,0,5,15,3,8
0,5,8,2,9,2,3,4
0,6,9,3,26,2,1,2
1,6,7,2,25,7,1,8
0,3,4,1,14,14,10,19
1,4,6,2,14,6,4,29
1,2,7,2,97,0,1,11
1,6,4,1,12,22,3,15
1,3,11,3,6,18,4,8
0,0,1,0,23,23,1,29
1,1,4,1,19,18,3,3
0,5,8,2,22,13,10,4
0,5,9,3,20,7,1,1
0,3,10,3,25,18,5,18
0,1,3,1,17,13,4,6
1,6,4,1,46,17,2,8
1,3,8,2,11,21,19,2
1,6,7,2,20,2,1,15
0,5,8,2,23,9,1,18
1,4,9,3,24,13,1,14
0,1,11,3,19,19,1,27
0,5,3,1,4,9,4,31
0,5,7,2,45,21,2,14
1,0,11,3,2,11,3,26
0,0,7,2,14,18,6,2
1,3,4,1,11,11,5,26
0,6,12,0,11,7,2,2
0,0,1,0,11,14,3,29
1,5,9,3,110,20,2,15
0,6,10,3,22,9,2,14
1,5,2,0,12,17,6,3
0,5,12,0,17,7,3,15
1,5,8,2,14,18,31,11
1,2,9,3,16,14,1,19
0,2,11,3,8,18,26,14
1,6,9,3,169,10,1,16
1,4,11,3,2,18,1,16
0,4,7,2,12,18,22,20
0,5,4,1,31,13,3,28
1,2,8,2,23,12,2,15
1,0,5,1,5,2,2,28
1,6,11,3,20,14,2,25
1,4,12,0,44,19,1,7
1,3,11,3,6,20,15,15
1,6,3,1,24,1,1,11
0,2,11,3,15,8,22,7
0,6,8,2,28,12,3,26
1,3,7,2,22,23,3,26
0,5,5,1,6,22,16,5
0,1,6,2,39,17,3,5
1,4,6,2,67,16,1,1
0,6,7,2,11,17,22,8
1,1,1,0,24,6,1,23
0,5,10,3,17,7,2,13
1,3,5,1,37,10,1,24
1,4,6,2,9,5,1,29
1,1,6,2,12,11,16,19
0,5,2,0,3,23,2,17
0,6,4,1,2,17,11,8
1,3,3,1,105,15,1,15
1,6,8,2,23,21,2,26
1,0,1,0,34,15,3,8
0,6,8,2,22,3,1,5
1,4,12,0,31,21,1,14
0,4,6,2,27,21,2,22
1,0,9,3,21,22,1,10
1,1,11,3,6,13,2,27
1,3,3,1,43,12,1,1
1,3,9,3,41,11,1,20
0,3,7,2,4,15,31,12
0,4,6,2,30,18,7,22
1,6,6,2,141,14,1,10
1,1,8,2,24,19,4,28
1,6,9,3,52,17,1,23
1,2,8,2,20,6,1,1
1,6,6,2,36,22,2,10
0,5,1,0,3,11,13,13
1,6,5,1,40,9,1,20
1,0,9,3,62,13,2,3
1,1,7,2,16,7,7,10
1,6,9,3,23,7,2,2
1,0,7,2,25,18,10,9
0,2,12,0,3,18,15,5
0,4,9,3,35,15,1,7
1,0,5,1,140,12,2,7
0,4,11,3,20,11,2,16
0,3,8,2,19,13,1,9
0,4,9,3,10,8,29,14
0,5,8,2,93,16,1,4
0,5,3,1,11,11,7,31
0,5,4,1,15,10,3,21
0,0,10,3,74,19,1,22
1,0,1,0,4,0,7,8
1,6,3,1,24,14,1,4
0,2,5,1,71,7,1,23
0,2,5,1,11,17,40,30
0,3,9,3,7,18,39,13
1,2,8,2,94,9,1,1
0,3,5,1,27,11,4,10
1,3,7,2,96,20,1,19
1,3,5,1,56,19,1,10
1,5,6,2,51,15,1,9
0,6,10,3,25,16,5,28
1,5,8,2,70,22,1,11
0,6,9,3,25,21,4,9
0,6,7,2,15,3,1,15
1,0,6,2,50,12,1,18
1,5,9,3,41,18,3,29
0,1,10,3,24,20,1,9
1,2,2,0,18,10,1,14
0,4,1,0,7,19,9,26
0,2,5,1,26,13,2,23
1,0,6,2,16,9,1,11
1,4,12,0,8,20,1,28
1,5,5,1,50,13,1,26
0,4,4,1,23,12,2,20
0,3,4,1,31,19,6,12
0,2,2,0,14,17,4,7
0,5,11,3,3,11,25,17
1,4,1,0,16,15,4,19
0,3,4,1,5,0,3,26
1,1,6,2,115,11,1,26
1,1,7,2,31,12,1,24
0,6,10,3,24,15,1,14
0,6,4,1,3,13,16,8
1,4,10,3,41,13,1,5
1,0,6,2,123,15,1,25
0,4,3,1,38,16,1,30
1,2,7,2,39,16,9,4
1,3,9,3,15,21,7,27
1,4,2,0,76,14,1,9
1,5,6,2,40,20,2,30
1,6,11,3,31,13,6,4
1,6,3,1,7,1,1,25
0,6,7,2,12,12,14,1
0,2,7,2,12,12,6,25
0,2,3,1,6,14,6,21
0,3,7,2,25,17,4,12
0,4,5,1,5,15,36,4
0,4,7,2,10,12,14,6
1,5,4,1,23,13,4,28
1,5,3,1,43,12,1,3
0,5,10,3,10,20,14,6
1,5,9,3,39,15,2,1
0,4,2,0,5,17,1,16
0,0,5,1,4,8,4,14
0,0,7,2,11,16,16,16
1,2,3,1,12,17,17,28
0,0,11,3,11,21,6,5
1,6,9,3,98,16,1,9
1,3,10,3,56,15,1,18
1,0,5,1,22,16,6,28
0,0,9,3,8,1,11,17
1,1,10,3,21,12,3,23
0,1,8,2,8,0,3,28
1,4,7,2,10,3,1,6
1,1,4,1,9,16,20,24
0,4,5,1,22,1,1,11
1,6,8,2,56,22,4,12
0,4,8,2,9,19,19,31
1,0,6,2,11,23,3,11
1,1,9,3,45,14,1,18
1,0,5,1,61,11,3,21
1,1,10,3,14,13,4,9
1,0,11,3,13,11,1,26
0,4,12,0,21,13,2,21
1,5,6,2,11,16,20,30
1,3,8,2,11,14,19,30
0,2,4,1,3,3,1,4
0,0,11,3,19,18,5,5
1,2,10,3,5,0,2,17
1,0,11,3,18,11,7,19
0,2,3,1,13,10,1,7
0,5,5,1,31,5,1,19
1,2,8,2,5,17,82,29
0,1,10,3,2,12,9,30
0,1,7,2,38,23,1,3
0,5,11,3,5,6,6,24
0,0,11,3,16,20,2,5
1,5,2,0,12,19,2,10
1,0,11,3,107,10,1,5
1,6,12,0,26,15,2,9
1,5,4,1,37,16,5,14
0,6,7,2,105,23,1,1
1,1,9,3,6,10,15,4
1,5,2,0,42,13,1,17
1,3,8,2,23,23,2,2
1,4,7,2,17,5,1,27
1,6,7,2,6,16,24,1
0,5,5,1,41,22,1,5
1,3,8,2,42,10,2,16
1,0,6,2,25,17,3,25
1,5,6,2,15,21,4,30
1,5,8,2,16,14,10,4
0,0,5,1,4,16,32,21
0,1,6,2,34,16,6,5
0,1,4,1,24,13,2,10
0,3,8,2,131,8,1,2
0,2,7,2,30,16,3,4
0,2,11,3,7,9,24,7
1,0,7,2,7,3,1,16
1,3,8,2,44,18,3,30
0,3,1,0,12,16,10,4
1,1,9,3,59,13,1,4
0,3,3,1,8,16,19,15
1,1,5,1,63,15,1,15
1,1,12,0,76,22,1,4
1,1,10,3,12,17,23,16
0,4,8,2,19,15,2,10
0,5,3,1,53,16,1,31
1,1,10,3,52,10,1,30
0,4,8,2,10,6,16,17
1,4,9,3,25,9,3,7
1,6,9,3,16,10,13,30
0,6,5,1,34,10,4,20
1,5,4,1,56,11,2,21
1,0,10,3,34,5,1,8
1,4,3,1,27,17,4,23
0,3,6,2,67,12,1,14
1,3,10,3,25,23,1,4
0,6,12,0,25,21,1,16
1,0,6,2,33,16,9,25
1,0,9,3,2,5,2,10
1,0,12,0,43,16,1,24
1,6,6,2,110,14,2,10
1,3,6,2,29,9,4,28
0,5,7,2,29,16,4,14
1,6,3,1,29,13,2,11
1,6,5,1,29,12,6,27
1,6,9,3,61,21,1,16
0,1,7,2,10,5,3,10
1,3,5,1,11,21,6,31
0,3,7,2,4,20,10,19
0,2,7,2,95,20,1,25
0,6,7,2,92,20,1,15
1,5,4,1,8,0,1,28
0,3,5,1,28,8,2,10
1,2,8,2,2,21,1,22
0,1,5,1,14,14,5,22
0,5,7,2,5,19,24,21
0,5,4,1,17,14,7,14
1,1,7,2,14,5,2,17
1,1,12,0,17,18,5,11
0,1,6,2,23,15,2,5
0,2,8,2,8,16,66,22
0,6,10,3,22,9,1,7
0,1,10,3,18,4,1,30
0,5,8,2,41,14,3,4
1,4,2,0,3,18,7,16
1,6,10,3,42,11,1,21
0,1,2,0,25,13,1,20
1,1,7,2,37,20,4,3
1,4,3,1,41,18,1,30
1,5,7,2,53,13,1,7
1,2,7,2,24,8,1,4
0,4,7,2,10,18,37,6
1,4,6,2,68,18,1,1
1,4,9,3,30,13,5,7
0,5,10,3,17,5,1,27
1,6,5,1,30,23,1,27
0,2,4,1,28,16,1,4
0,2,11,3,12,16,17,21
0,2,7,2,8,21,18,4
1,2,11,3,16,14,4,7
0,1,4,1,22,17,2,17
1,6,8,2,15,7,3,12
1,0,9,3,42,20,1,3
0,1,9,3,50,14,2,4
1,6,12,0,18,20,1,16
0,3,3,1,14,8,8,8
0,5,8,2,32,7,6,18
1,2,6,2,27,21,4,20
0,0,2,0,18,20,2,12
1,3,5,1,31,7,1,3
0,0,4,1,19,15,6,2
1,3,5,1,4,10,16,31
1,4,1,0,6,7,12,26
0,1,10,3,49,14,1,2
1,5,8,2,15,4,1,11
1,0,6,2,31,11,2,4
0,2,12,0,2,7,12,5
1,3,4,1,17,22,1,26
1,3,3,1,26,8,4,29
0,4,3,1,21,8,1,9
1,2,5,1,159,19,1,30
0,5,6,2,3,15,28,9
1,6,9,3,32,9,2,16
0,2,2,0,11,21,4,7
0,1,6,2,35,22,1,5
0,0,10,3,23,13,2,29
1,6,7,2,2,6,9,1
1,6,7,2,43,17,1,15
0,5,4,1,53,22,2,21
0,4,8,2,15,4,1,31
1,4,12,0,17,12,5,7
1,1,10,3,60,10,1,2
1,2,8,2,175,11,2,22
0,2,4,1,7,9,14,4
1,4,7,2,31,16,5,27
0,3,8,2,23,15,3,16
0,3,1,0,19,15,1,11
0,4,6,2,47,16,2,8
1,6,6,2,51,12,2,10
0,1,7,2,14,13,8,10
1,0,6,2,23,18,8,4
0,3,4,1,27,19,2,5
1,5,6,2,27,17,8,2
0,0,3,1,31,13,1,19
0,6,5,1,12,0,3,6
1,5,1,0,52,12,1,6
0,1,3,1,3,14,5,27
1,1,9,3,72,14,1,25
0,5,3,1,21,13,1,24
1,6,6,2,40,18,3,17
1,6,3,1,15,17,2,4
0,6,5,1,20,22,3,13
0,3,9,3,20,20,6,6
0,0,5,1,4,2,5,7
0,0,10,3,33,10,2,15
1,5,10,3,10,18,9,27
1,0,8,2,2,0,5,13
1,6,3,1,25,13,1,4
0,4,3,1,4,11,12,23
1,6,6,2,38,13,3,3
1,0,9,3,54,11,1,17
1,5,9,3,13,13,9,22
1,0,6,2,176,13,1,18
1,3,4,1,42,14,1,26
0,2,7,2,27,14,7,25
0,4,4,1,4,22,15,13
1,5,7,2,150,11,2,14
1,6,11,3,26,21,2,4
1,4,8,2,2,23,7,3
0,4,6,2,46,10,1,29
0,0,4,1,96,0,1,2
0,0,7,2,60,21,1,23
0,5,6,2,38,16,3,30
1,1,12,0,19,12,4,4
0,5,11,3,14,13,7,17
1,5,8,2,79,14,1,11
0,1,1,0,21,18,1,9
1,2,9,3,7,20,20,26
1,5,2,0,36,12,1,17
0,6,7,2,9,6,3,1
0,0,11,3,34,20,1,12
0,1,8,2,5,23,8,21
1,3,5,1,23,11,2,17
1,5,11,3,10,5,4,17
0,2,1,0,7,5,1,24
1,3,6,2,30,9,2,28
1,6,5,1,133,15,2,6
1,0,8,2,21,18,4,13
1,1,5,1,8,15,19,29
0,4,9,3,69,17,2,28
1,6,10,3,37,14,2,7
