rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
0,1,5,12,0,2,5,8
0,0,3,12,0,3,6,27
0,1,1,7,2,27,21,17
1,0,6,10,3,2,0,14
0,0,0,8,2,39,9,6
1,1,3,8,2,21,17,30
1,0,6,5,1,2,15,20
1,0,1,8,2,6,15,7
0,1,3,8,2,18,19,16
1,1,1,5,1,27,6,22
1,1,4,6,2,2,15,22
0,0,5,8,2,10,1,11
0,1,2,3,1,14,4,7
1,1,1,11,3,20,9,6
0,1,4,3,1,3,6,9
0,0,6,7,2,6,16,29
1,0,6,2,0,26,16,4
0,0,3,7,2,3,8,19
1,0,6,6,2,69,14,24
1,0,0,1,0,4,9,15
0,0,6,7,2,28,14,15
1,0,6,9,3,31,19,30
1,0,5,9,3,20,16,1
0,0,0,6,2,75,21,25
0,0,3,8,2,8,5,16
1,1,0,8,2,80,20,27
0,1,2,5,1,12,6,9
1,0,2,3,1,6,14,14
0,1,1,10,3,18,18,23
0,0,1,5,1,32,17,22
1,0,2,6,2,7,15,20
0,0,6,9,3,3,21,30
1,1,2,11,3,20,21,21
1,1,4,12,0,15,20,28
0,0,1,7,2,11,12,17
1,1,6,6,2,53,13,10
0,0,6,12,0,31,15,2
0,0,1,6,2,8,4,26
1,0,1,9,3,7,22,18
0,1,0,8,2,12,0,13
1,1,0,10,3,7,7,22
0,0,6,8,2,57,14,12
0,1,1,10,3,14,23,2
0,0,5,9,3,41,22,1
1,1,2,11,3,14,6,28
0,0,5,10,3,8,13,13
1,0,1,5,1,6,10,1
0,1,4,9,3,33,8,7
1,0,6,7,2,29,9,22
0,1,5,2,0,27,14,10
0,1,2,8,2,10,14,22
1,0,6,8,2,19,14,26
0,1,5,7,2,6,12,14
0,0,6,2,0,16,20,11
0,0,1,5,1,9,21,29
1,1,1,7,2,37,12,10
1,0,0,2,0,6,5,12
1,1,5,6,2,18,11,2
1,1,6,7,2,38,11,29
0,0,6,10,3,57,13,21
1,1,4,11,3,9,9,2
0,0,2,1,0,8,23,17
0,0,6,5,1,12,10,6
0,0,2,8,2,93,15,15
1,0,0,7,2,39,18,30
1,0,2,7,2,18,23,18
0,1,0,2,0,47,15,5
1,1,1,10,3,8,12,23
0,0,3,10,3,21,13,18
1,0,2,9,3,39,13,5
1,1,1,1,0,24,12,30
1,0,1,8,2,16,9,28
0,0,0,6,2,8,13,11
1,1,5,5,1,42,14,26
0,1,4,1,0,8,17,26
1,1,6,6,2,40,9,3
0,1,0,2,0,15,13,12
1,0,0,7,2,9,6,23
1,0,5,8,2,133,10,4
1,1,3,6,2,22,21,7
1,1,2,8,2,63,6,1
0,0,4,8,2,32,17,17
0,1,5,5,1,30,7,26
1,1,0,5,1,19,20,21
0,1,1,8,2,3,21,7
1,1,6,6,2,3,21,17
1,0,6,8,2,20,16,5
0,1,2,5,1,4,19,2
1,0,2,7,2,32,10,18
1,1,1,10,3,5,6,2
1,0,6,6,2,5,15,24
0,1,3,3,1,11,7,29
1,1,5,5,1,17,18,5
0,1,0,5,1,29,13,21
1,1,5,12,0,18,7,29
0,1,6,5,1,30,18,20
1,1,2,1,0,18,17,31
0,1,6,5,1,2,1,13
0,0,3,11,3,4,22,1
0,0,5,10,3,8,21,6
0,0,0,9,3,11,8,10
0,0,1,3,1,24,18,27
1,1,3,10,3,26,23,4
1,0,3,4,1,12,11,12
0,0,3,9,3,67,13,27
1,0,6,10,3,34,11,21
1,0,3,7,2,142,5,5
1,1,4,7,2,13,17,13
0,0,2,3,1,2,0,21
1,0,5,9,3,7,23,15
1,0,3,6,2,154,13,7
0,0,1,8,2,53,21,7
0,1,4,3,1,9,15,16
0,1,0,4,1,39,4,30
0,0,6,6,2,36,15,17
1,1,3,11,3,13,13,15
1,1,2,1,0,9,5,10
1,0,6,1,0,79,10,28
0,0,6,9,3,72,12,9
1,1,2,8,2,35,13,22
1,0,4,10,3,16,16,19
1,0,0,12,0,16,19,24
1,0,2,6,2,31,17,20
0,0,0,12,0,4,18,3
0,1,3,1,0,49,19,4
1,0,0,8,2,21,11,13
0,0,6,7,2,5,13,22
1,0,0,7,2,48,12,9
1,1,1,5,1,27,16,8
0,1,4,9,3,16,23,14
1,1,4,8,2,25,9,17
1,0,5,10,3,12,11,20
1,0,2,9,3,27,20,26
1,0,6,9,3,42,15,23
0,1,4,4,1,81,16,13
1,0,2,6,2,3,20,6
0,0,3,7,2,22,12,26
1,1,2,1,0,53,8,10
0,1,5,7,2,17,9,14
1,0,6,8,2,27,19,26
0,0,0,7,2,65,11,23
1,1,5,9,3,26,16,29
1,1,6,11,3,16,8,18
1,0,0,10,3,11,1,15
1,0,0,7,2,122,16,9
0,0,1,7,2,10,21,31
1,1,1,7,2,6,7,3
1,1,2,10,3,5,0,10
0,0,2,5,1,12,6,16
1,0,4,3,1,53,12,30
1,0,4,3,1,7,4,16
1,1,5,7,2,20,21,28
0,0,2,9,3,5,21,26
1,0,5,6,2,38,12,9
0,0,5,8,2,12,16,4
1,0,2,10,3,2,3,24
1,1,6,8,2,9,3,26
0,1,3,3,1,18,16,15
0,0,6,11,3,69,15,18
1,0,0,7,2,31,21,23
1,1,5,9,3,13,22,8
1,1,4,7,2,52,17,27
1,0,2,5,1,100,8,16
1,0,0,8,2,74,12,13
1,0,4,8,2,16,14,3
0,0,4,10,3,18,12,26
1,0,5,8,2,10,20,11
1,0,6,5,1,21,9,13
1,0,4,5,1,2,21,25
0,0,2,12,0,24,17,19
1,0,3,6,2,19,14,7
1,1,3,6,2,27,20,21
1,0,0,8,2,43,18,20
1,0,5,6,2,70,6,16
1,1,1,10,3,10,11,2
0,0,5,5,1,5,9,19
0,0,0,12,0,17,10,17
0,0,3,9,3,18,9,20
0,1,4,11,3,13,15,30
1,1,3,12,0,2,17,27
0,0,2,7,2,22,0,4
